begin HEADER
  File_Creation = "2009-05-26T19:32:48 UTC"
  File_ID       = "GOSAT TANSO FTS Conversion Factors"
  Labels        = "Wavenumber" "CNV(B2P_gainH)" "CNV(B2S_gainH)" "CNV(B2P_gainM)" "CNV(B2S_gainM)"
  Num_Columns   = 5
  Num_Rows      = 8001
end HEADER

#      Wavenumber   CNV(B2P_gainH)   CNV(B2S_gainH)   CNV(B2P_gainM)   CNV(B2S_gainM)
   5.36719140e+03              N/A              N/A   5.73440510e-05  -2.70192867e-04
   5.36739140e+03              N/A              N/A   6.41998683e-05   4.76429689e-05
   5.36759140e+03              N/A              N/A   1.97115636e-04   1.45642264e-04
   5.36779140e+03              N/A              N/A   6.08005481e-05   6.64491289e-05
   5.36799140e+03              N/A              N/A   1.58114053e-04   4.92407265e-05
   5.36819140e+03              N/A              N/A   1.19986719e-04   1.30994551e-04
   5.36839140e+03              N/A              N/A   1.17856050e-04   1.07600569e-03
   5.36859140e+03              N/A              N/A   9.50434349e-05   7.18926877e-05
   5.36879140e+03              N/A              N/A  -1.60383844e-03   9.24578283e-05
   5.36899140e+03              N/A              N/A   1.29491568e-04   1.27002620e-04
   5.36919140e+03              N/A              N/A   1.36970979e-04   6.89649353e-05
   5.36939140e+03              N/A              N/A   2.02561045e-04   1.50121544e-04
   5.36959140e+03              N/A              N/A   1.23757236e-04   9.75084562e-05
   5.36979140e+03              N/A              N/A   8.25274011e-05   8.20570812e-05
   5.36999140e+03              N/A              N/A   2.09592509e-03   2.54708416e-04
   5.37019140e+03              N/A              N/A   7.47734411e-05   6.23894826e-05
   5.37039140e+03              N/A              N/A   2.28620263e-04  -6.05555691e-04
   5.37059140e+03              N/A              N/A   8.86062299e-05   7.54402606e-05
   5.37079140e+03              N/A              N/A   2.40818431e-04   1.54204331e-04
   5.37099140e+03              N/A              N/A   8.74620797e-05   6.93628219e-05
   5.37119140e+03              N/A              N/A   1.07145239e-04   2.35179370e-03
   5.37139140e+03              N/A              N/A   7.25781258e-05   1.85750898e-04
   5.37159140e+03              N/A              N/A   1.27843797e-03   1.06774614e-04
   5.37179140e+03              N/A              N/A   6.12857371e-05   8.15930269e-05
   5.37199140e+03              N/A              N/A  -9.15319375e-03   1.55240251e-03
   5.37219140e+03              N/A              N/A   1.32465046e-04   8.69463408e-05
   5.37239140e+03              N/A              N/A   8.56442902e-05   7.45524206e-05
   5.37259140e+03              N/A              N/A   7.77612905e-05   8.02319014e-05
   5.37279140e+03              N/A              N/A   1.94748471e-04  -1.06717704e-04
   5.37299140e+03              N/A              N/A   1.15987594e-04   5.03249498e-05
   5.37319140e+03              N/A              N/A   5.63552228e-04   1.11768293e-04
   5.37339140e+03              N/A              N/A   1.41403540e-04   5.56431039e-05
   5.37359140e+03              N/A              N/A   1.12281908e-04   6.66808038e-05
   5.37379140e+03              N/A              N/A   8.69391635e-05   1.17727537e-04
   5.37399140e+03              N/A              N/A  -2.18703482e-04   1.34449611e-04
   5.37419140e+03              N/A              N/A   7.52392472e-05   9.06533394e-05
   5.37439140e+03              N/A              N/A  -9.20382051e-04  -7.04522145e-04
   5.37459140e+03              N/A              N/A   6.37446986e-05   6.10416664e-05
   5.37479140e+03              N/A              N/A   1.00809206e-04   1.24347483e-04
   5.37499140e+03              N/A              N/A   6.57244107e-05   8.14732059e-05
   5.37519140e+03              N/A              N/A   3.24718668e-04   1.48660582e-04
   5.37539140e+03              N/A              N/A   6.42853002e-05   5.34571273e-05
   5.37559140e+03              N/A              N/A   1.59978699e-04   1.55058380e-04
   5.37579140e+03              N/A              N/A   6.78987556e-05   3.87241955e-05
   5.37599140e+03              N/A              N/A   1.28787613e-04   2.04783164e-04
   5.37619140e+03              N/A              N/A   8.69825386e-05   3.81256148e-05
   5.37639140e+03              N/A              N/A   8.40575487e-04   1.34694138e-04
   5.37659140e+03              N/A              N/A   5.18025658e-05   1.04306060e-04
   5.37679140e+03              N/A              N/A   1.16537753e-04   2.07736149e-04
   5.37699140e+03              N/A              N/A   6.15836775e-05   4.67316138e-05
   5.37719140e+03              N/A              N/A   1.70199607e-04   8.81167316e-05
   5.37739140e+03              N/A              N/A   8.72120321e-05   6.43834988e-05
   5.37759140e+03              N/A              N/A   1.31759185e-04   9.11151901e-04
   5.37779140e+03              N/A              N/A   8.39004086e-05   3.79843893e-05
   5.37799140e+03              N/A              N/A   6.95134415e-05  -5.32824227e-04
   5.37819140e+03              N/A              N/A   6.51393349e-05   6.21311089e-05
   5.37839140e+03              N/A              N/A   9.23538502e-05   1.05749294e-04
   5.37859140e+03              N/A              N/A   9.67952060e-05   1.75604769e-04
   5.37879140e+03              N/A              N/A   1.79616536e-04  -2.58188079e-03
   5.37899140e+03              N/A              N/A   4.84299630e-05   4.83525435e-05
   5.37919140e+03              N/A              N/A   9.52179231e-05   1.28204583e-04
   5.37939140e+03              N/A              N/A   6.08095968e-05   6.72363653e-05
   5.37959140e+03              N/A              N/A   1.77537280e-04   1.65529362e-04
   5.37979140e+03              N/A              N/A   6.00487270e-05   1.27848754e-04
   5.37999140e+03              N/A              N/A   1.19387957e-04   1.92825712e-04
   5.38019140e+03              N/A              N/A   9.39108450e-05   6.20278962e-05
   5.38039140e+03              N/A              N/A   1.33672377e-04   1.38225925e-04
   5.38059140e+03              N/A              N/A   6.35728062e-05   8.35886513e-05
   5.38079140e+03              N/A              N/A   1.25034208e-04   6.98963684e-05
   5.38099140e+03              N/A              N/A   1.28987397e-04   7.82075573e-05
   5.38119140e+03              N/A              N/A   2.19593808e-04   6.34976281e-05
   5.38139140e+03              N/A              N/A   1.99281198e-04   5.98533309e-05
   5.38159140e+03              N/A              N/A   8.50357590e-05   9.37768612e-05
   5.38179140e+03              N/A              N/A   6.50877199e-05   6.51137991e-05
   5.38199140e+03              N/A              N/A   1.12275053e-04   9.22050084e-05
   5.38219140e+03              N/A              N/A   1.22871000e-04   9.50346550e-05
   5.38239140e+03              N/A              N/A   1.63018132e-04   9.91759998e-04
   5.38259140e+03              N/A              N/A   8.16517240e-05   5.01557889e-05
   5.38279140e+03              N/A              N/A   8.39588353e-05   3.46476347e-04
   5.38299140e+03              N/A              N/A   6.54678914e-05   5.96580312e-05
   5.38319140e+03              N/A              N/A   1.28532409e-04   9.80304833e-05
   5.38339140e+03              N/A              N/A   9.91184171e-05   5.84989323e-05
