begin HEADER
  File_Creation        = "2009-11-10T23:04:33"
  File_ID              = "GOSAT Noise for Pol: S, Gain: M. Example only, real values vary with scene"
  Labels               = "COLOR_1" "CNV_COEF_1" "COLOR_2" "CNV_COEF_2" "COLOR_3" "CNV_COEF_3"
  Num_Columns          = 6
  Num_Rows             = 3508
  band_noise_values    = 2.510131e-01 1.085544e-01 1.214302e-01
  source_acos_l1b_file = /test/gds/system_test/B2.05.01/l1b/acos_L1b_090724_01_Production090929_091019194551t.hdf
  source_sounding_id   = 20090724012908
end HEADER

#         COLOR_1       CNV_COEF_1          COLOR_2       CNV_COEF_2          COLOR_3       CNV_COEF_3
   2.15000000e+02   4.35813270e-08   2.15000000e+02   4.58499017e-08   2.15000000e+02   2.33355877e-08
   2.16000000e+02   4.35767298e-08   2.16000000e+02   4.57616878e-08   2.16000000e+02   2.33248354e-08
   2.17000000e+02   4.35720864e-08   2.17000000e+02   4.57380445e-08   2.17000000e+02   2.33161899e-08
   2.18000000e+02   4.35671552e-08   2.18000000e+02   4.57874023e-08   2.18000000e+02   2.33089672e-08
   2.19000000e+02   4.35622276e-08   2.19000000e+02   4.58783838e-08   2.19000000e+02   2.33026505e-08
   2.20000000e+02   4.35578684e-08   2.20000000e+02   4.59557121e-08   2.20000000e+02   2.32932322e-08
   2.21000000e+02   4.35538574e-08   2.21000000e+02   4.59863969e-08   2.21000000e+02   2.32802098e-08
   2.22000000e+02   4.35499565e-08   2.22000000e+02   4.59569982e-08   2.22000000e+02   2.32681288e-08
   2.23000000e+02   4.35469154e-08   2.23000000e+02   4.58827252e-08   2.23000000e+02   2.32669581e-08
   2.24000000e+02   4.35438743e-08   2.24000000e+02   4.57820626e-08   2.24000000e+02   2.32639294e-08
